Audience Segment,Creative Size,Creative Messaging,Location,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost,CPA,CTR,CPC,CPM,CVR,vCPM,Viewability
US>Reach>Propensity Models>Hobbies and Interest>Sports>NASCAR Enthusiast,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",mail.yahoo.com,Google Ad Manager,Smartphone,12988,69,6514,9378,4,"$2,236.49",$559.12,0.53%,$32.41,$172.20,5.80%,$343.34,69.46043933
US Financial>Likely Credit Card>Card in Own Name>Any major Credit/Debit Card (Financial),300x250,Subscribe Today - 10% Discount,"San Francisco, California",accuweather.com,BidSwitch,Smartphone,10811,25,988,2975,3,"$1,679.83",$559.94,0.23%,$67.19,$155.38,12.00%,"$1,700.24",33.21008403
Online Behavior>United States>People and Society>Seniors and Retirement,320x50,Sign up Now - 10% Off,"West Palm Beach-Ft. Pierce, Florida",healthline.com,Google Ad Manager,Smartphone,26820,80,13553,21192,12,"$6,745.10",$562.09,0.30%,$84.31,$251.50,15.00%,$497.68,63.95337863
Online Behavior>United States>Autos and Vehicles>Hybrid and Alternative Vehicles,300x50,Sign up Now - 10% Off,"New York City, New York",hindustantimes.com,Google Ad Manager,Smartphone,17518,60,11513,16192,12,"$6,765.00",$563.75,0.34%,$112.75,$386.17,20.00%,$587.60,71.10301383
US>Sociodemographic>P$YCLE Premier Lifestage>Y3 Fiscal Fledglings,320x50,Sign up Now - 10% Off,"Chicago, Illinois",msn.com,Google Ad Manager,Smartphone,297347,751,166412,251319,4,"$2,255.52",$563.88,0.25%,$3.00,$7.59,0.53%,$13.55,66.2154473
US>Brand Propensities>Food and Drug>Postmates Buyer Propensity,300x250,Sign up Now - 10% Off,"Mobile, Alabama-Pensacola, Florida",pandora.com,Google Ad Manager,Smartphone,13202,101,10871,12885,3,"$1,699.06",$566.35,0.77%,$16.82,$128.70,2.97%,$156.29,84.36942181
Online Behavior>United States>Food and Drink>Beverages>Bottled Water,320x50,Sign up Now - 10% Off,"New York City, New York",forbes.com,Google Ad Manager,Smartphone,12879,71,7225,12173,9,"$5,099.28",$566.59,0.55%,$71.82,$395.94,12.68%,$705.78,59.35266574
US>Interest Propensities>Activities and Interests>Local News,320x50,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",activebeat.com,Magnite DV+,Smartphone,16151,54,4360,11358,3,"$1,706.22",$568.74,0.33%,$31.60,$105.64,5.56%,$391.34,38.38703997
Online Behavior>United States>Law and Government>Legal,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",washingtonpost.com,Xandr - Monetize SSP (AppNexus),Smartphone,9867,30,6867,9347,12,"$6,839.57",$569.96,0.30%,$227.99,$693.18,40.00%,$996.01,73.4674227
Online Behavior>United States>Law and Government>Military,320x50,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",cars.com,Google Ad Manager,Smartphone,17582,56,9848,16558,12,"$6,846.45",$570.54,0.32%,$122.26,$389.40,21.43%,$695.21,59.4757821
Online Behavior>United States>Sports>Sports League>NHL,300x250,Sign up Now - 10% Off,"Chicago, Illinois",ebay.com,Index Exchange,Smartphone,56945,152,20750,50714,9,"$5,144.47",$571.61,0.27%,$33.85,$90.34,5.92%,$247.93,40.91572347
Online Behavior>United States>Intent>Auto Buyers>Car Make>Mercedes,320x50,Subscribe Today - 10% Discount,"Lansing, Michigan",realtor.com,Index Exchange,Smartphone,42459,121,15187,37408,11,"$6,321.49",$574.68,0.28%,$52.24,$148.88,9.09%,$416.24,40.59826775
US>Interest Propensities>Insurance>New York Life,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",nytimes.com,Magnite DV+,Smartphone,14932,90,8947,14256,3,"$1,724.42",$574.81,0.60%,$19.16,$115.48,3.33%,$192.74,62.75953984
Online Behavior>United States>Home and Garden>Yard and Patio,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",w3schools.com,Index Exchange,Smartphone,11607,184,5218,10763,12,"$6,909.73",$575.81,1.59%,$37.55,$595.31,6.52%,"$1,324.21",48.48090681
Online Behavior>United States>Validated Demographic>Age>18-64,300x250,10% Discount - Ends 6/1,"Grand Rapids-Kalamazoo, Michigan",cars.com,PubMatic,Windows PC,48562,150,29108,45570,11,"$6,346.63",$576.97,0.31%,$42.31,$130.69,7.33%,$218.04,63.87535659
Mobile - US>Sports>Basketball>NCAA College Basketball,300x250,Subscribe Today - 10% Discount,"New York City, New York",wizofawes.com,Magnite DV+,Smartphone,13642,40,9830,11658,3,"$1,731.27",$577.09,0.29%,$43.28,$126.91,7.50%,$176.12,84.31978041
Online Behavior>United States>Intent>Travel>Business Travel,300x250,Sign up Now - 10% Off,"New York City, New York",gamerant.com,Google Ad Manager,Smartphone,17770,70,12771,16749,9,"$5,195.23",$577.25,0.39%,$74.22,$292.36,12.86%,$406.80,76.24932832
US>Sociodemographic>ConneXions Lifestage>M3 Offline Seniors,320x50,Subscribe Today - 10% Discount,"Jacksonville, Florida",geeksforgeeks.org,Index Exchange,Smartphone,13293,74,9054,12676,5,"$2,901.21",$580.24,0.56%,$39.21,$218.25,6.76%,$320.43,71.42631745
Telecommunications (Telco),320x50,Sign up Now - 10% Off,"Birmingham, Alabama",biblegateway.com,Google Ad Manager,Smartphone,65380,208,30039,60482,5,"$2,905.88",$581.18,0.32%,$13.97,$44.45,2.40%,$96.74,49.66601634
Online Behavior>United States>Beauty and Fitness>Fitness>Fitness Equipment and Accessories,300x250,Sign up Now - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",travelerdreams.com,Google Ad Manager,Windows PC,24875,67,14213,23455,8,"$4,652.24",$581.53,0.27%,$69.44,$187.02,11.94%,$327.32,60.59688766
Online Behavior>United States>B2B>Occupation>Broker,320x50,Sign up Now - 10% Off,"Champaign & Springfield-Decatur,Illinois",tastesbetterfromscratch.com,BidSwitch,Smartphone,21962,120,10702,21034,11,"$6,404.00",$582.18,0.55%,$53.37,$291.59,9.17%,$598.39,50.87952838
Online Behavior>United States>Travel>Bus and Rail,300x250,Sign up Now - 10% Off,"New York City, New York",cars.com,BidSwitch,Windows PC,45711,130,23052,42375,11,"$6,417.88",$583.44,0.28%,$49.37,$140.40,8.46%,$278.41,54.4
Online Behavior>United States>Intent>Travel>Graduation Trip,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",sallysbakingaddiction.com,Google Ad Manager,Windows PC,26415,60,13791,25315,11,"$6,450.92",$586.45,0.23%,$107.52,$244.21,18.33%,$467.76,54.47758246
"US Financial>Estimated Discretionary Spending (Financial)>Greater than $2,499",320x50,10% Discount - Ends 6/1,"Nashville, Tennessee",biblestudytools.com,Google Ad Manager,Smartphone,10779,86,6420,10287,3,"$1,759.70",$586.57,0.80%,$20.46,$163.25,3.49%,$274.10,62.40886556
US>Reach>Propensity Models>Hobbies and Interest>Sports>Fishing,300x250,Subscribe Today - 10% Discount,"Knoxville, Tennessee",realtor.com,PubMatic,Apple PC,65043,160,25871,53969,4,"$2,347.92",$586.98,0.25%,$14.67,$36.10,2.50%,$90.75,47.93677852
US>Home Renovation>Home Renovators,300x250,Sign up Now - 10% Off,"Chicago, Illinois",thesaltymarshmallow.com,Google Ad Manager,Smartphone,15547,70,7615,14939,3,"$1,767.46",$589.15,0.45%,$25.25,$113.69,4.29%,$232.10,50.97396077
Travel and Tourism>Interest (Affinity)>Destinations>North America>United States,300x50,Subscribe Today - 10% Discount,"Los Angeles, California",cars.com,Google Ad Manager,Smartphone,9730,45,2971,5102,3,"$1,778.94",$592.98,0.46%,$39.53,$182.83,6.67%,$598.77,58.23206586
OnAudience>Interest>Careers,320x50,Subscribe Today - 10% Discount,"Flint-Saginaw-Bay City, Michigan",biblegateway.com,Google Ad Manager,Smartphone,77313,191,40366,71128,3,"$1,790.39",$596.80,0.25%,$9.37,$23.16,1.57%,$44.35,56.75120909
OnAudience>Interest>Technology,300x50,Sign up Now - 10% Off,"Chicago, Illinois",cnn.com,Google Ad Manager,Smartphone,84306,185,45376,79935,3,"$1,809.59",$603.20,0.22%,$9.78,$21.46,1.62%,$39.88,56.76612247
Online Behavior>United States>Life Event>College Applications,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",yahoo.com,Xandr - Monetize SSP (AppNexus),Smartphone,446774,1245,163786,374116,12,"$7,248.23",$604.02,0.28%,$5.82,$16.22,0.96%,$44.25,43.77946947
Online Behavior>United States>B2B>Occupation>Teacher,300x250,Sign up Today - 10% Off,"Chicago, Illinois",kbb.com,OpenX,Smartphone,49014,100,30349,46446,6,"$3,628.35",$604.72,0.20%,$36.28,$74.03,6.00%,$119.55,65.34254834
Online Behavior>United States>Arts and Entertainment>TV and Video,300x50,Subscribe Today - 10% Discount,"New York City, New York",msn.com,BidSwitch,Smartphone,13946,40,3142,8823,8,"$4,920.23",$615.03,0.29%,$123.01,$352.81,20.00%,"$1,565.96",35.61147002
Online Behavior>United States>Arts and Entertainment>Events and Listings>Expos and Conventions,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",zillow.com,Google Ad Manager,Apple PC,20833,87,1777,17211,9,"$5,542.51",$615.83,0.42%,$63.71,$266.04,10.34%,"$3,119.03",10.32479228
Online Behavior>United States>Autos and Vehicles>Brands>Buick,300x250,Subscribe Today - 10% Discount,"South Bend-Elkhart, Indiana",signupgenius.com,Google Ad Manager,Apple PC,21599,66,13600,20256,9,"$5,551.39",$616.82,0.31%,$84.11,$257.02,13.64%,$408.19,67.14060032
Online Behavior>United States>Intent>Auto Buyers>Type>Luxury,320x50,Sign up Now - 10% Off,"Los Angeles, California",al.com,PubMatic,Smartphone,14489,37,12453,13873,10,"$6,195.84",$619.58,0.26%,$167.46,$427.62,27.03%,$497.54,89.76429035
Online Behavior>United States>Beauty and Fitness>Fitness>Yoga and Pilates,300x250,10% Discount - Ends 6/1,"New York City, New York",fandomwire.com,PubMatic,Windows PC,95644,240,13294,86775,9,"$5,587.76",$620.86,0.25%,$23.28,$58.42,3.75%,$420.32,15.32008067
Online Behavior>United States>Finance>Insurance>Travel Insurance,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",weather.com,Magnite DV+,Smartphone,61574,280,18717,46367,8,"$4,999.67",$624.96,0.45%,$17.86,$81.20,2.86%,$267.12,40.36707141
Online Behavior>United States>Intent>Auto Buyers>Car Make>Subaru,300x250,Sign up Today - 10% Off,"Los Angeles, California",signupgenius.com,Magnite DV+,Apple PC,7965,50,5230,6923,10,"$6,298.51",$629.85,0.63%,$125.97,$790.77,20.00%,"$1,204.30",75.54528384
Online Behavior>United States>Internet and Telecom>Email and Messaging,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",dexerto.com,OpenX,Smartphone,14553,47,6119,12505,11,"$6,968.00",$633.45,0.32%,$148.26,$478.80,23.40%,"$1,138.75",48.93242703
US>Reach>Propensity Models>Hobbies and Interest>Food and Drinks>Eats at Family Restaurants,320x50,Subscribe Today - 10% Discount,"Flint-Saginaw-Bay City, Michigan",poshland.com,Google Ad Manager,Smartphone,268811,799,95989,173923,4,"$2,549.12",$637.28,0.30%,$3.19,$9.48,0.50%,$26.56,55.19051534
Media and Entertainment>Events and Attractions,300x250,10% Discount - Ends 6/1,"Flint-Saginaw-Bay City, Michigan",motor-junkie.com,PubMatic,Windows PC,70506,270,26779,48902,3,"$1,912.97",$637.66,0.38%,$7.09,$27.13,1.11%,$71.44,54.76054149
Online Behavior>United States>Autos and Vehicles>Brands>Jaguar,320x50,Sign up Now - 10% Off,"Chicago, Illinois",mlb.com,Google Ad Manager,Smartphone,38396,87,6305,35118,9,"$5,740.16",$637.80,0.23%,$65.98,$149.50,10.34%,$910.41,17.95375591
US>Reach>Propensity Models>Hobbies and Interest>Music>Listens to Pop Music,320x50,Sign up Today - 10% Off,"San Francisco, California",merriam-webster.com/dictionary,Google Ad Manager,Smartphone,18771,69,10871,17138,6,"$3,827.37",$637.89,0.37%,$55.47,$203.90,8.70%,$352.07,63.43213911
Online Behavior>United States>Finance>Insurance>Home Insurance,300x250,Sign up Today - 10% Off,"West Palm Beach-Ft. Pierce, Florida",bbc.com,Google Ad Manager,Smartphone,53464,212,22151,49058,9,"$5,741.10",$637.90,0.40%,$27.08,$107.38,4.25%,$259.18,45.15267642
Online Behavior>United States>B2B>Occupation>SystemsAnalyst,320x50,Sign up Now - 10% Off,"Chicago, Illinois",espn.com,Google Ad Manager,Smartphone,95289,199,19527,82800,5,"$3,223.54",$644.71,0.21%,$16.20,$33.83,2.51%,$165.08,23.58333333
US>Reach>Propensity Models>Hobbies and Interest>Sports>Avid Runners,300x250,10% Discount - Ends 6/1,"Lansing, Michigan",cbsnews.com,BidSwitch,Smartphone,510778,1290,70777,436133,6,"$3,870.25",$645.04,0.25%,$3.00,$7.58,0.47%,$54.68,16.2283065
Online Behavior>United States>Home and Garden>Home Appliances,300x250,10% Discount - Ends 6/1,"Tampa-St Petersburg (Sarasota), Florida",news.yahoo.com,BidSwitch,Smartphone,8420,80,4430,7869,8,"$5,184.59",$648.07,0.95%,$64.81,$615.75,10.00%,"$1,170.34",56.2968611
Online Behavior>United States>Autos and Vehicles>Brands>Isuzu,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",realtor.com,Index Exchange,Windows PC,16978,30,8367,15731,9,"$5,886.07",$654.01,0.18%,$196.20,$346.69,30.00%,$703.49,53.18797279
Online Behavior>United States>Intent>Shopping>Home Improvement,320x50,Subscribe Today - 10% Discount,"Orlando-Daytona Beach, Florida",wordunscrambler.me,Google Ad Manager,Smartphone,9357,60,1754,8343,10,"$6,559.48",$655.95,0.64%,$109.32,$701.02,16.67%,"$3,739.73",21.02361261
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity),300x250,Sign up Now - 10% Off,"Chicago, Illinois",cheapoair.com,Google Ad Manager,Smartphone,14581,85,6970,8882,4,"$2,636.20",$659.05,0.58%,$31.01,$180.80,4.71%,$378.22,78.47331682
Online Behavior>United States>Sports>Sports League>MLB,320x50,10% Discount - Ends 6/1,"New York City, New York",autotrader.com,Google Ad Manager,Smartphone,19093,50,9626,17815,10,"$6,612.15",$661.21,0.26%,$132.24,$346.31,20.00%,$686.90,54.03311816
Online Behavior>United States>Sports>Team Sports>Baseball,320x50,Sign up Now - 10% Off,"New York City, New York",rollingstone.com,Smart RTB+ (Smartadserver),Smartphone,19334,40,8673,18578,11,"$7,292.14",$662.92,0.21%,$182.30,$377.17,27.50%,$840.79,46.68425019
Online Behavior>United States>Games>Arcade and Coin-Op Games,320x50,Sign up Today - 10% Off,"Ft. Myers-Naples, Florida",yahoo.com,BidSwitch,Smartphone,120603,298,47405,100881,10,"$6,633.53",$663.35,0.25%,$22.26,$55.00,3.36%,$139.93,46.99100921
US>Interest Propensities>Oil & Gas>QuickTrip,320x50,Subscribe Today - 10% Discount,"Huntsville-Decatur (Florence), Alabama",cargurus.com,Index Exchange,Smartphone,16227,40,9438,15611,3,"$1,991.94",$663.98,0.25%,$49.80,$122.75,7.50%,$211.06,60.4573698
Online Behavior>United States>The Changing Consumer>CPG,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",realtor.com,Google Ad Manager,Smartphone,224877,805,121175,213280,11,"$7,360.99",$669.18,0.36%,$9.14,$32.73,1.37%,$60.75,56.814985
Online Behavior>United States>Intent>Auto Buyers>Car Make>Hyundai,320x50,10% Discount - Ends 6/1,"New York City, New York",daily-choices.com,OpenX,Smartphone,25532,140,15219,21497,9,"$6,047.17",$671.91,0.55%,$43.19,$236.85,6.43%,$397.34,70.79592501
Media and Entertainment>News and Current Events>Online News Websites,320x50,Sign up Now - 10% Off,"Grand Rapids-Kalamazoo, Michigan",newsharper.com,TripleLift,Smartphone,16288,56,5304,10731,3,"$2,030.14",$676.71,0.34%,$36.25,$124.64,5.36%,$382.76,49.42689405
Online Behavior>United States>Intent>Auto Buyers>Car Make>Ford,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",foxnews.com,BidSwitch,Apple PC,29323,88,13822,26934,9,"$6,096.05",$677.34,0.30%,$69.27,$207.89,10.23%,$441.04,51.31803668
OnAudience>Interest>News & Magazines,320x50,Sign up Now - 10% Off,"Chicago, Illinois",msn.com,Google Ad Manager,Smartphone,80456,204,46039,65383,3,"$2,039.85",$679.95,0.25%,$10.00,$25.35,1.47%,$44.31,70.41432788
Online Behavior>United States>Autos and Vehicles>Brands>Honda,320x50,10% Discount - Ends 6/1,"Peoria-Bloomington, Illinois",microsoftcasualgames.com,PubMatic,Smartphone,90463,204,803,2465,9,"$6,120.60",$680.07,0.23%,$30.00,$67.66,4.41%,"$7,622.17",32.57606491
Online Behavior>United States>Finance>Financial Planning and Management>Asset and Portfolio Management,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",culturess.com,Google Ad Manager,Smartphone,9328,56,7102,8925,5,"$3,408.08",$681.62,0.60%,$60.86,$365.36,8.93%,$479.88,79.57422969
US>Reach>Propensity Models>Lifestyle>Loyalty Programs>Loyalty Card User,300x250,Sign up Today - 10% Off,"New York City, New York",findagrave.com,PubMatic,Smartphone,13100,80,6507,10895,5,"$3,411.59",$682.32,0.61%,$42.64,$260.43,6.25%,$524.30,59.72464433
Online Behavior>United States>Autos and Vehicles>Brands>Fiat,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",thekrazycouponlady.com,Magnite DV+,Smartphone,11417,78,1387,9924,9,"$6,206.64",$689.63,0.68%,$79.57,$543.63,11.54%,"$4,474.86",13.97621927
Online Behavior>United States>Intent>Travel>Luxury Travel,320x50,Sign up Today - 10% Off,"Huntsville-Decatur (Florence), Alabama",seedsgames.com,Google Ad Manager,Smartphone,14509,90,866,13268,8,"$5,521.19",$690.15,0.62%,$61.35,$380.54,8.89%,"$6,375.51",6.526982213
Online Behavior>United States>Intent>Shopping>Consumer Electronics>Video Game Consoles,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",factinate.com,Magnite DV+,Apple PC,39314,100,27671,35488,8,"$5,530.80",$691.35,0.25%,$55.31,$140.68,8.00%,$199.88,77.97283589
Online Behavior>United States>Intent>Travel>Budget Travel,300x50,Subscribe Today - 10% Discount,"Los Angeles, California",yachtworld.com,PubMatic,Smartphone,10565,66,6248,10141,9,"$6,236.11",$692.90,0.62%,$94.49,$590.26,13.64%,$998.10,61.61128094
Online Behavior>United States>Beauty and Fitness>Face and Body Care>Skin and Nail Care,300x50,10% Discount - Ends 6/1,"Los Angeles, California",apnews.com,BidSwitch,Smartphone,100800,185,14473,85424,10,"$7,004.73",$700.47,0.18%,$37.86,$69.49,5.41%,$483.99,16.94254542
Online Behavior>United States>Sports>Individual Sports>Golf,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",realtor.com,Index Exchange,Smartphone,69928,210,30196,62327,9,"$6,318.41",$702.05,0.30%,$30.09,$90.36,4.29%,$209.25,48.44770324
Online Behavior>United States>Intent>Financial Intent>Insurance>Auto,320x50,Sign up Today - 10% Off,"Tallahassee, Florida-Thomasville, Georgia",weather.com,PubMatic,Smartphone,42884,104,4345,25153,9,"$6,322.15",$702.46,0.24%,$60.79,$147.42,8.65%,"$1,455.04",17.2742814
Online Behavior>United States>Online Communities>Dating and Personals,320x50,Sign up Today - 10% Off,"Nashville, Tennessee",weather.com,Google Ad Manager,Smartphone,39844,99,11077,30190,9,"$6,367.87",$707.54,0.25%,$64.32,$159.82,9.09%,$574.87,36.69095727
Online Behavior>United States>Finance>Insurance>Health Insurance,320x50,Sign up Today - 10% Off,"San Francisco, California",myfitnesspal.com,PubMatic,Smartphone,39881,125,6331,36245,10,"$7,098.89",$709.89,0.31%,$56.79,$178.00,8.00%,"$1,121.29",17.46723686
Online Behavior>United States>Travel>Tourist Destinations>Lakes and Rivers,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",flightaware.com,Index Exchange,Smartphone,12710,10,8159,11984,11,"$7,851.40",$713.76,0.08%,$785.14,$617.73,110.00%,$962.30,68.08244326
US>Connected Impulse-Shopper Audience,300x250,10% Discount - Ends 6/1,"West Palm Beach-Ft. Pierce, Florida",boxrox.com,Smart RTB+ (Smartadserver),Smartphone,35034,145,13904,34123,3,"$2,141.47",$713.82,0.41%,$14.77,$61.13,2.07%,$154.02,40.74671043
Online Behavior>United States>Travel>Tourist Destinations>Mountain and Ski Resorts,320x50,Subscribe Today - 10% Discount,"West Palm Beach-Ft. Pierce, Florida",cbsnews.com,BidSwitch,Smartphone,35178,155,23374,33779,8,"$5,738.81",$717.35,0.44%,$37.02,$163.14,5.16%,$245.52,69.19683827
Online Behavior>United States>Autos and Vehicles>Brands>Jeep,320x50,Sign up Now - 10% Off,"Los Angeles, California",accuweather.com,Google Ad Manager,Smartphone,23711,69,4337,17211,8,"$5,740.95",$717.62,0.29%,$83.20,$242.12,11.59%,"$1,323.72",25.19900064
Lotame>Offline CPG Purchasers>Product Segment>Home Supplies,300x250,Sign up Today - 10% Off,"Los Angeles, California",ebay.com,PubMatic,Smartphone,13326,98,3568,11388,2,"$1,442.03",$721.02,0.74%,$14.71,$108.21,2.04%,$404.16,31.33122585
Online Behavior>United States>Travel>Tourist Destinations>Historical Sites and Buildings,320x50,10% Discount - Ends 6/1,"San Francisco, California",slickdeals.net,Index Exchange,Smartphone,47360,126,8047,33641,9,"$6,502.27",$722.47,0.27%,$51.61,$137.29,7.14%,$808.04,23.9202164
